yyyymm,CDS_01,CDS_02,CDS_03,CDS_04,CDS_05,CDS_06,CDS_07,CDS_08,CDS_09,CDS_10,CDS_11,CDS_12,CDS_13,CDS_14,CDS_15,CDS_16,CDS_17,CDS_18,CDS_19,CDS_20
200911,-0.0032,-0.0044,-0.0021,-0.0015,-0.0024,-0.0034,-0.0051,-0.0019,-0.0023,-0.003,-0.0019,0.0025,-0.0003,-0.003,0.001,0.0,-0.0016,0.0014,0.0043,-0.0007
200912,0.0024,0.0052,0.005,0.0064,0.0054,0.0065,0.0082,0.0095,0.0083,0.009,0.0093,0.0091,0.0163,0.0134,0.0165,0.0172,0.0157,0.0238,0.0186,0.0243
201001,-0.0014,-0.0026,-0.0023,-0.0027,-0.0035,-0.0036,-0.0026,-0.0036,-0.0043,-0.003,-0.0017,-0.0036,-0.0013,-0.0043,-0.0031,-0.0002,-0.0016,-0.006,0.0016,0.0042
201002,-0.0007,-0.0009,-0.0005,-0.0022,-0.0021,-0.0006,-0.0003,-0.0009,-0.0002,0.0008,-0.0004,0.0012,-0.0003,-0.0044,-0.0043,0.001,0.0007,-0.0007,0.0017,0.0
201003,0.0002,0.0,-0.0012,-0.0014,-0.0016,-0.0005,-0.0034,-0.0015,0.0012,-0.0018,-0.002,-0.0033,-0.0013,0.0015,0.0023,0.009,0.0067,0.0095,0.0113,0.0112
201004,-0.0003,0.0001,-0.0003,-0.0002,-0.0006,-0.0007,-0.0003,-0.0007,-0.0005,-0.0002,-0.0011,-0.003,0.0001,0.002,0.0008,0.0061,0.0053,0.0063,0.0039,0.0084
201005,-0.0036,-0.0026,-0.0039,-0.003,-0.0034,-0.0065,-0.0069,-0.0069,-0.0057,-0.009,-0.0064,-0.0111,-0.0077,-0.0099,-0.0096,-0.0128,-0.014,-0.0141,-0.0176,-0.0226
201006,-0.0007,0.0005,0.0019,0.0012,0.0001,-0.0002,-0.0049,-0.0025,-0.0002,-0.002,-0.0042,-0.0024,-0.0026,-0.0071,-0.0184,-0.0033,-0.0046,-0.0066,0.0003,-0.0006
201007,0.0004,0.0013,0.0032,0.0026,0.0024,0.0053,0.004,0.0031,0.0047,0.0078,0.0052,0.0063,0.0084,0.009,0.0091,0.0157,0.0053,0.0141,0.0128,0.0251
201008,-0.0023,-0.001,-0.0011,-0.0022,-0.0013,-0.0023,-0.0034,-0.0028,-0.0046,-0.002,-0.0038,-0.0031,-0.004,-0.0093,-0.0072,-0.0072,-0.0066,-0.0117,-0.0018,-0.0094
201009,0.0013,0.0026,0.002,0.003,0.0024,0.0027,0.0035,0.0043,0.003,0.0029,0.0057,0.0026,0.0059,0.0056,0.0037,0.0042,0.0109,0.0079,0.0122,0.0172
201010,0.0012,0.002,0.0006,0.0011,0.0003,-0.0011,0.0037,0.0026,0.002,0.0033,0.0028,0.0025,0.0022,0.0047,0.0052,0.0084,-0.0008,0.0096,0.0054,0.0087
201011,0.0004,0.0003,0.0006,0.0006,-0.0005,0.0006,-0.0015,-0.0001,0.0014,0.0003,0.0013,-0.0004,0.0037,0.0021,-0.0019,0.0009,0.0002,0.0055,0.0035,-0.0002
201012,0.0016,0.0022,0.0019,0.0026,0.0023,0.0035,0.0031,0.0033,0.0019,0.0035,0.0059,0.0067,0.0056,0.009,0.0096,0.0083,0.0131,0.0122,0.0127,0.0202
201101,-0.0002,0.0,-0.0018,-0.0039,0.0001,-0.0024,-0.0023,0.0012,0.0,0.0015,0.0008,0.0,0.004,-0.0001,0.0032,0.0023,0.0035,0.0027,0.0045,0.0123
201102,-0.0001,-0.0011,0.0002,0.0001,0.0006,0.002,0.0009,0.0005,0.0016,0.0038,0.0025,0.0044,0.0031,0.0011,0.006,0.0036,0.0059,0.0083,0.0044,0.0153
201103,-0.001,-0.0002,-0.0002,-0.0009,-0.0038,-0.0009,0.0002,-0.0001,-0.0019,-0.0005,-0.0019,0.0022,-0.0004,0.0002,-0.0003,-0.0007,0.0007,0.0022,0.001,0.0023
201104,-0.0011,0.0003,0.0008,0.0011,0.0013,0.0018,0.0015,0.0017,0.0009,0.0009,0.0016,0.002,0.0042,0.003,0.0024,0.0037,0.0042,0.0045,0.0042,0.0078
201105,0.0002,0.0009,0.0004,0.0002,0.0008,0.0002,0.0005,0.0003,0.0002,-0.0011,-0.0003,0.0006,0.0007,0.0009,0.0035,0.0002,0.0013,0.0021,-0.0035,-0.001
201106,0.0,-0.0002,0.0,-0.0008,-0.0014,-0.0015,-0.0016,-0.0029,-0.0034,-0.0011,-0.0031,-0.0048,-0.0013,-0.0032,-0.0055,-0.0017,-0.0032,0.0001,-0.0036,-0.0075
201107,-0.0003,-0.0002,0.0004,-0.0005,-0.0001,0.0004,0.0009,-0.0005,0.0011,0.0001,-0.0017,0.0003,0.0001,0.0003,-0.0013,0.0003,-0.0011,0.0005,0.0014,0.0028
201108,-0.0039,-0.0036,-0.004,-0.0042,-0.0041,-0.0047,-0.0046,-0.0072,-0.0086,-0.0096,-0.0181,-0.0157,-0.0118,-0.0164,-0.0151,-0.0191,-0.0131,-0.0177,-0.0141,-0.0397
201109,-0.001,-0.0031,-0.0033,-0.0033,-0.0025,-0.0045,-0.0052,-0.0064,-0.0048,-0.009,-0.0094,-0.0111,-0.0143,-0.0136,-0.0096,-0.0159,-0.0207,-0.0175,-0.0169,-0.0272
