yyyymm,CDS_01,CDS_02,CDS_03,CDS_04,CDS_05,CDS_06,CDS_07,CDS_08,CDS_09,CDS_10,CDS_11,CDS_12,CDS_13,CDS_14,CDS_15,CDS_16,CDS_17,CDS_18,CDS_19,CDS_20
200511,0.0033,0.0029,0.0031,0.0028,0.0036,0.0039,0.0033,0.0035,0.0035,0.0029,0.0037,0.0039,0.0044,0.0044,0.0047,0.0024,0.0068,0.0025,0.0102,0.0069
200512,0.0032,0.0039,0.0035,0.0036,0.0036,0.0035,0.0038,0.004,0.004,0.0043,0.0038,0.0043,0.0044,0.0035,0.0053,0.0045,0.007,0.0084,0.0062,0.0082
200601,0.0038,0.0034,0.0038,0.0037,0.0039,0.0043,0.0035,0.0038,0.0045,0.004,0.0043,0.0033,0.0041,0.0048,0.0053,0.0059,0.004,0.0065,0.0077,0.0109
200602,0.0036,0.0037,0.0037,0.0042,0.0042,0.0042,0.0035,0.005,0.0054,0.0047,0.0044,0.0048,0.0056,0.0063,0.0056,0.0052,0.0056,0.0076,0.0088,0.0151
200603,0.0039,0.0041,0.0038,0.0038,0.0038,0.0038,0.0039,0.0043,0.0044,0.0045,0.0044,0.0047,0.0039,0.0049,0.0045,0.0047,0.0053,0.0026,0.011,0.0065
200604,0.0039,0.004,0.0039,0.0045,0.0041,0.0046,0.0047,0.0048,0.0042,0.0047,0.0051,0.0052,0.0067,0.0063,0.0077,0.0078,0.0083,0.0067,0.0078,0.0224
200605,0.0042,0.0039,0.0041,0.0039,0.0039,0.0037,0.0038,0.0042,0.0042,0.0029,0.0039,0.0039,0.0032,0.0019,0.0035,0.0021,0.0031,0.0034,0.0025,0.0054
200606,0.0038,0.0044,0.0042,0.0039,0.0039,0.0031,0.0033,0.0022,0.0033,0.0036,0.0031,0.0042,0.0032,0.0033,0.0025,0.0041,0.0057,0.0025,-0.0008,-0.0081
200607,0.0041,0.0041,0.0042,0.0041,0.0043,0.0043,0.0041,0.0045,0.0045,0.0047,0.0041,0.0046,0.0044,0.0029,0.0056,0.0052,0.0036,0.0011,0.0061,0.0072
200608,0.0044,0.0045,0.0046,0.0046,0.0047,0.0049,0.0049,0.0051,0.0049,0.0048,0.005,0.0047,0.0048,0.005,0.0032,0.0054,0.0057,0.0064,0.0055,0.0102
200609,0.004,0.0044,0.0045,0.0046,0.0046,0.0047,0.0047,0.0043,0.0046,0.0043,0.0039,0.005,0.0039,0.0045,0.0053,0.0052,0.003,0.0037,0.0044,0.0151
200610,0.0043,0.0049,0.0051,0.0054,0.0048,0.0054,0.0057,0.0057,0.0054,0.0054,0.0057,0.0052,0.0066,0.0062,0.0065,0.0069,0.0083,0.0069,0.01,0.0134
200611,0.0045,0.0042,0.0047,0.0047,0.0044,0.0043,0.0047,0.005,0.0044,0.0058,0.0051,0.0046,0.0055,0.0058,0.0054,0.0047,0.0053,0.0065,0.0076,0.0164
200612,0.0038,0.0039,0.0036,0.0035,0.0036,0.004,0.0039,0.0043,0.004,0.0036,0.0042,0.0036,0.0041,0.0036,0.0046,0.0036,0.0047,0.0067,0.0037,0.0103
200701,0.0046,0.0046,0.0048,0.0046,0.0039,0.0051,0.0046,0.0056,0.0057,0.0051,0.005,0.0057,0.0052,0.0051,0.0052,0.0063,0.0061,0.007,0.008,0.0112
200702,0.0038,0.0039,0.0041,0.004,0.0043,0.0044,0.0046,0.0035,0.0033,0.0042,0.0046,0.005,0.0051,0.0049,0.0049,0.0046,0.0054,0.0061,0.0069,0.0118
200703,0.0037,0.0038,0.0033,0.0038,0.0044,0.0031,0.0033,0.0034,0.0037,0.0015,0.0039,0.0034,0.004,0.0021,0.0,0.0022,0.0002,-0.0018,0.0027,0.0052
200704,0.0044,0.0043,0.0044,0.0042,0.0046,0.0046,0.0046,0.004,0.0046,0.0037,0.0048,0.0043,0.0023,0.0039,0.0041,0.0025,0.0045,0.0068,0.0058,0.012
200705,0.0039,0.0043,0.0039,0.0041,0.0043,0.0037,0.0041,0.0039,0.0042,0.0043,0.0049,0.0051,0.0044,0.0062,0.006,0.0064,0.0053,0.0087,0.0101,0.0078
200706,0.0028,0.0028,0.0028,0.0027,0.0033,0.0032,0.0037,0.0037,0.0036,0.0025,0.0031,0.0033,0.004,0.0047,0.0035,0.0045,0.0031,0.0001,-0.0055,-0.0073
